,genre_ids,id,popularity,release_date,title,vote_average,vote_count
313,"[35, 18, 10749]",13,177.031,1994-06-23,Forrest Gump,8.5,26656
314,"[28, 878]",137113,58.455,2014-05-27,Edge of Tomorrow,7.618,13400
315,"[12, 28, 878]",11,565.814,1977-05-25,Star Wars,8.203,20039
316,"[27, 878]",348,556.806,1979-05-25,Alien,8.153,13982
317,"[27, 878, 9648]",8413,53.225,1997-08-15,Event Horizon,6.521,2692
318,"[28, 53, 878]",218,576.82,1984-10-26,The Terminator,7.665,12574
319,"[35, 80]",115,41.634,1998-03-06,The Big Lebowski,7.844,10844
320,"[10749, 35]",2064,27.007,1995-04-21,While You Were Sleeping,7.001,1703
321,"[12, 28, 53]",375588,86.815,2018-11-03,Robin Hood,5.898,2875
322,"[18, 10751, 14]",1585,38.447,1946-12-20,It's a Wonderful Life,8.271,4134
