,id,person_mbti,mbti_test,character,movie
1061,61,INFJ,16Personalities,Prince Akeem,Coming to America
936,61,INFJ,16Personalities,Chris Nielsen,What Dreams May Come
561,61,INFJ,16Personalities,Hermione,The Deathly Hallows: Part I
1186,61,INFJ,16Personalities,Pope Benedict,The Two Popes
311,61,INFJ,16Personalities,Charlotte,Lost in Translation
186,61,INFJ,16Personalities,Ellen Ripley,Alien
686,61,INFJ,16Personalities,Juno MacGuff,Juno
811,61,INFJ,16Personalities,Alexander Dane,Galaxy Quest
187,62,ISTP,Truity,J.  Daniel Atlas,Now You See Me
62,62,ISTP,Truity,Neil Perry,Dead poets society 
437,62,ISTP,Truity,Toothless,how  to train your dragon
312,62,ISTP,Truity,Shrek,Shrek
188,63,ISTP,Cognitive functions self-typing,Iva,Wall-e (2008)
563,63,ISTP,Cognitive functions self-typing,Dori,finding Nemo 
688,63,ISTP,Cognitive functions self-typing,Wallace,Scott Pilgrim vs The World
438,63,ISTP,Cognitive functions self-typing,Lapis lazuli-Steven Universe the movie,
313,63,ISTP,Cognitive functions self-typing,Matilda,Matilda
63,63,ISTP,Cognitive functions self-typing,Coraline,Coraline
314,64,ESTP,Cognitive functions self-typing,Frank Castle,The Punisher
189,64,ESTP,Cognitive functions self-typing,Blind Al,Deadpool
64,64,ESTP,Cognitive functions self-typing,Robocop,Robocop
439,64,ESTP,Cognitive functions self-typing,Ursula,The Little Mermaid
190,65,ISFP,Cognitive functions self-typing,John Rambo,Rambo: First Blood
440,65,ISFP,Cognitive functions self-typing,Joseph Cooper,Interstellar
65,65,ISFP,Cognitive functions self-typing,Philippe Petit,The Walk
315,65,ISFP,Cognitive functions self-typing,Strider,The Lord of the Rings
441,66,ESTJ,Cognitive functions self-typing,Hermione Granger,Harry Potter
66,66,ESTJ,Cognitive functions self-typing,Mr Fox,Fantastic Mr.fox
191,66,ESTJ,Cognitive functions self-typing,SoundWave,Transformers: dark of the moon
566,66,ESTJ,Cognitive functions self-typing,Owen Grady,Jurassic World  
1066,66,ESTJ,Cognitive functions self-typing,Jake Lonergan/Cowboys & Aliens,
1191,66,ESTJ,Cognitive functions self-typing,Cam,Tracers
816,66,ESTJ,Cognitive functions self-typing,‪Khaevis,Damsel
941,66,ESTJ,Cognitive functions self-typing,Frank Martin,the transporter
316,66,ESTJ,Cognitive functions self-typing,Michael Nantz,Battle Los Angeles 
691,66,ESTJ,Cognitive functions self-typing,Auto,Wall-E (2008)
192,67,INFJ,"Cognitive functions self-typing + Sakinorva (16p.com IS ***NOT*** RELIABLE, therefore I am wary of this survey's legitimacy)",Trinity,The Matrix
